Date,Price,Open,High,Low,Volume,Chg%
2026-01-02,7197.0289999999995,7215.579,7262.961,7182.825,51877,0.02
2026-01-01,7195.862999999999,7191.411,7200.05,7155.053,14622,0.23
2025-12-31,7179.062,7235.878,7235.931,7147.898,59050,1.1
2025-12-30,7100.621999999999,7058.804999999999,7148.639999999999,7041.209,36733,1.04
2025-12-29,7027.535,7294.284,7328.257,6979.835,90640,-3.77
2025-12-26,7302.817,7223.9,7329.9,7223.9,46771,1.24
2025-12-24,7213.512,7224.3769999999995,7234.5,7169.893,38763,0.22
2025-12-23,7197.347,7149.7,7255.063999999999,7138.994,54815,0.86
2025-12-22,7135.813999999999,7027.8,7138.464,7027.8,52738,1.67
2025-12-19,7018.630999999999,7009.356,7026.474999999999,6985.559,41184,-0.19
2025-12-18,7032.2519999999995,7055.201,7082.3369999999995,7000.7699999999995,50581,-0.32
2025-12-17,7055.095,7027.8,7074.97,6999.179999999999,54875,0.37
2025-12-16,7029.231,7014.55,7070.147,6978.139,51610,0.1
2025-12-15,7022.023,6969.5,7082.549,6969.5,59083,0.64
2025-12-12,6977.1849999999995,6937.965,7063.946,6911.2,98046,0.57
2025-12-11,6937.965,6836.947,6942.364,6826.135,55011,1.87
2025-12-10,6810.5,6845.48,6845.639,6797.727,26343,-0.27
2025-12-09,6829.209,6831.329,6847.599999999999,6775.148999999999,41833,0.09
2025-12-08,6823.008,6831.7,6865.726,6799.9529999999995,34061,-0.36
2025-12-05,6847.918,6825.605,6900.599999999999,6811.188999999999,51597,0.24
2025-12-04,6831.382,6850.303,6857.617,6795.871999999999,43318,-0.32
2025-12-03,6853.165,6836.947,6898.215,6836.947,55815,0.5
2025-12-02,6819.298,6854.224999999999,6868.8,6779.336,60448,0.49
2025-12-01,6785.802,6745.787,6833.978999999999,6745.787,25841,0.86
2025-11-28,6727.978999999999,6672.647,6736.246999999999,6658.125,50902,1.18
2025-11-27,6649.6449999999995,6644.08,6663.107,6629.611,26081,-0.17
2025-11-26,6660.722,6641.005999999999,6667.4,6622.933,44486,0.61
2025-11-25,6620.548,6572.0,6633.586,6572.0,55048,1.05
2025-11-24,6551.5419999999995,6497.8,6560.499,6479.621,44401,-0.19
2025-11-21,6563.996999999999,6485.133,6582.335,6439.5,76478,1.04
2025-11-20,6496.634,6513.912,6549.687,6460.753,70110,-0.27
2025-11-19,6513.912,6504.902,6586.84,6476.706,72005,0.26
2025-11-18,6497.322999999999,6471.353,6516.085,6397.099999999999,75507,-0.16
2025-11-17,6507.817,6529.017,6549.74,6463.933,66588,-0.54
2025-11-14,6543.062,6731.53,6736.088,6453.651,107420,-2.54
2025-11-13,6713.4039999999995,6706.673,6774.672,6685.95,80023,0.24
2025-11-12,6697.239,6580.162,6709.2699999999995,6551.86,76031,1.99
2025-11-11,6566.541,6587.847,6640.211,6540.253,58528,0.0
2025-11-10,6566.541,6455.347,6577.3,6455.347,64150,2.35
2025-11-07,6415.968,6399.803,6443.21,6387.719,55453,0.39
2025-11-06,6391.111,6388.991,6440.931,6366.996,53890,0.08
2025-11-05,6386.182,6375.37,6396.464,6345.69,25685,0.55
2025-11-04,6350.99,6419.678,6420.208,6318.3949999999995,73605,-1.31
2025-11-03,6434.995,6438.9169999999995,6471.3,6419.625,63899,0.17
2025-10-31,6424.077,6428.794,6481.581999999999,6391.8,69402,0.8
2025-10-30,6373.303,6230.998,6386.447,6220.928,35582,0.69
2025-10-29,6329.472,6202.643,6398.69,6202.643,61325,0.61
2025-10-28,6291.047,6301.7,6333.5,6180.1179999999995,55062,-1.09
2025-10-27,6360.106,6453.227,6460.647,6321.3099999999995,69968,-2.08
2025-10-24,6495.097,6516.668,6532.674,6395.616,63689,-0.61
2025-10-23,6535.165,6432.08,6559.8099999999995,6432.08,53574,1.85
2025-10-22,6416.657,6683.3,6683.3,6346.909,69875,-4.94
2025-10-21,6750.345,6787.5509999999995,6787.5509999999995,6682.822999999999,11229,-1.64
2025-10-20,6863.129,6708.369,6870.3369999999995,6652.772,93876,2.81
2025-10-17,6675.403,6889.947,6979.994,6618.269,149474,-2.16
2025-10-16,6822.955,6741.547,6836.4169999999995,6728.615,78786,1.65
