Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Holiday,Functioning Day,Month,DayOfWeek,Is_Weekend,Hour_sin,Hour_cos,Month_sin,Month_cos,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Rented Bike Count
15,13.2,61,3.9,719,5.8,1.03,0.0,0.0,1,1,11,4,0,-0.7071067811865471,-0.7071067811865479,-0.5000000000000004,0.8660254037844384,True,False,False,False,995
9,22.9,86,1.7,538,20.4,0.76,0.0,0.0,1,1,6,4,0,0.7071067811865476,-0.7071067811865475,1.2246467991473532e-16,-1.0,False,False,True,False,1195
19,11.2,46,1.4,869,0.0,0.0,0.0,0.0,1,1,11,3,0,-0.9659258262890684,0.2588190451025203,-0.5000000000000004,0.8660254037844384,True,False,False,False,1448
23,-2.6,69,2.0,1434,-7.5,0.0,0.0,0.0,1,1,2,4,0,-0.25881904510252157,0.9659258262890681,0.8660254037844386,0.5000000000000001,False,False,False,True,178
22,27.2,73,1.5,1005,21.9,0.0,0.0,0.0,1,1,7,2,0,-0.5000000000000004,0.8660254037844384,-0.4999999999999997,-0.8660254037844388,False,False,True,False,1980
0,23.0,84,1.9,375,20.1,0.0,0.0,0.0,1,1,6,5,1,0.0,1.0,1.2246467991473532e-16,-1.0,False,False,True,False,1275
1,8.5,61,0.2,1273,1.3,0.0,0.0,0.0,1,0,11,5,1,0.25881904510252074,0.9659258262890683,-0.5000000000000004,0.8660254037844384,True,False,False,False,0
5,18.4,87,0.8,209,16.1,0.0,0.4,0.0,1,1,5,2,0,0.9659258262890683,0.25881904510252074,0.49999999999999994,-0.8660254037844387,False,True,False,False,76
22,21.4,48,1.6,2000,9.9,0.0,0.0,0.0,1,1,6,5,1,-0.5000000000000004,0.8660254037844384,1.2246467991473532e-16,-1.0,False,False,True,False,1969
22,1.5,48,2.4,422,-8.3,0.0,0.0,0.0,1,1,1,5,1,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,False,False,False,True,232
21,14.1,86,0.9,535,11.7,0.0,0.0,0.0,1,1,5,6,1,-0.7071067811865477,0.7071067811865474,0.49999999999999994,-0.8660254037844387,False,True,False,False,1571
19,-13.8,32,2.2,2000,-26.9,0.0,0.0,0.7,1,1,1,2,0,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,False,False,False,True,211
2,4.7,81,1.0,1918,1.7,0.0,0.0,0.0,1,1,10,0,0,0.49999999999999994,0.8660254037844387,-0.8660254037844386,0.5000000000000001,True,False,False,False,184
7,19.8,79,0.9,2000,16.0,0.13,0.0,0.0,1,1,9,2,0,0.9659258262890683,-0.25881904510252063,-1.0,-1.8369701987210297e-16,True,False,False,False,1487
1,-1.6,81,1.1,1141,-4.4,0.0,0.0,3.5,1,1,1,2,0,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,False,False,False,True,96
21,14.5,49,1.9,2000,3.8,0.0,0.0,0.0,1,1,5,1,0,-0.7071067811865477,0.7071067811865474,0.49999999999999994,-0.8660254037844387,False,True,False,False,1513
13,21.8,97,2.4,682,21.2,0.06,35.0,0.0,1,1,5,2,0,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,-0.8660254037844387,False,True,False,False,151
7,2.9,84,1.9,241,0.4,0.0,0.0,0.0,1,1,3,6,1,0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,False,True,False,False,119
16,-3.6,36,4.4,2000,-16.5,0.67,0.0,0.0,1,1,2,6,1,-0.8660254037844385,-0.5000000000000004,0.8660254037844386,0.5000000000000001,False,False,False,True,175
