,Date,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
count,8760,8760.0,8760.0,8760.0,8760.0,8760.0,8760.0,8760.0,8760.0,8760.0,8760.0,8760,8760,8760
unique,365,,,,,,,,,,,4,2,2
top,01/12/2017,,,,,,,,,,,Spring,No Holiday,Yes
freq,24,,,,,,,,,,,2208,8328,8465
mean,,704.6020547945205,11.5,12.882922374429223,58.226255707762554,1.7249086757990868,1436.825799086758,4.073812785388128,0.5691107305936073,0.14868721461187215,0.07506849315068492,,,
std,,644.9974677392156,6.922581688234342,11.944825230027947,20.36241330156561,1.036299993402556,608.2987119840188,13.06036933814979,0.8687462422391532,1.1281929687321486,0.4367461811249922,,,
min,,0.0,0.0,-17.8,0.0,0.0,27.0,-30.6,0.0,0.0,0.0,,,
25%,,191.0,5.75,3.5,42.0,0.9,940.0,-4.7,0.0,0.0,0.0,,,
50%,,504.5,11.5,13.7,57.0,1.5,1698.0,5.1,0.01,0.0,0.0,,,
75%,,1065.25,17.25,22.5,74.0,2.3,2000.0,14.8,0.93,0.0,0.0,,,
max,,3556.0,23.0,39.4,98.0,7.4,2000.0,27.2,3.52,35.0,8.8,,,
